firm,week_end,action,ticker,usd,m,q,dn_first_order,dn_exact,dn_per_dollar,filing_url
BMNR,2026-06-07,price,,,,,,0.00010320330963515915,,
BMNR,2026-06-07,itm_flip,,,,,,0.0,,
BMNR,2026-06-07,buy_coin,ETH,200926380,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226027647/ex99-1.htm
BMNR,2026-06-07,est_issuance,BMNR,2062048,1.029004,,6.29324026534292e-08,6.291842132716274e-08,3.0512580826375006e-14,
BMNR,2026-06-07,residual,,,,,,-1.4686514884440505e-07,,
BMNR,2026-06-14,price,,,,,,-1.3340111573939897e-05,,
BMNR,2026-06-14,itm_flip,,,,,,0.0,,
BMNR,2026-06-14,buy_coin,ETH,128049544,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226028622/ex99-1.htm
BMNR,2026-06-14,issue_pref,BMNP,273800000,,0.800000,-7.040227897160185e-05,-7.837331859220087e-05,-2.862429459174612e-13,https://www.sec.gov/Archives/edgar/data/1829311/000149315226028622/ex99-1.htm
BMNR,2026-06-14,est_issuance,BMNR,116943621,0.999979,,-2.47603791212129e-09,-2.445626029815018e-09,-2.0912863888924106e-17,
BMNR,2026-06-14,residual,,,,,,-7.814632448104389e-06,,
BMNR,2026-06-21,price,,,,,,-4.0203831529767725e-06,,
BMNR,2026-06-21,itm_flip,,,,,,0.0,,
BMNR,2026-06-21,buy_coin,ETH,89271260,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-06-21,est_issuance,BMNR,201530571,0.976953,,-4.704046943032251e-06,-4.606719739107604e-06,-2.2858664682850938e-14,
BMNR,2026-06-21,residual,,,,,,-1.284949142174932e-05,,
BMNR,2026-06-28,price,,,,,,2.053772060879415e-05,,
BMNR,2026-06-28,itm_flip,,,,,,0.0,,
BMNR,2026-06-28,buy_coin,ETH,42709238,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226030428/ex99-1.htm
BMNR,2026-06-28,carry,DIV,-1108334,,,,-1.1646274375911453e-06,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226028483/ex99-1.htm
BMNR,2026-06-28,carry,DIV,-369446,,,,-3.882103717847002e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226028483/ex99-1.htm
BMNR,2026-06-28,residual,,,,,,-1.905064295908837e-06,,
BMNR,2026-07-05,price,,,,,,-1.5426856137460213e-05,,
BMNR,2026-07-05,itm_flip,,,,,,0.0,,
BMNR,2026-07-05,buy_coin,ETH,71674181,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226032090/ex99-1.htm
